Season,Name,WAR,Age,playerid
2006,Ryan Klesko,0.2,35,1041
1993,Ryan Klesko,0.3,22,1041
2000,Jason Giambi,7.7,29,818
2001,Jason Giambi,9.2,30,818
1954,Ted Kluszewski,7.4,29,1007020
2005,Derrek Lee,7,29,525
1995,Tim Salmon,5.8,26,32
2002,Jason Giambi,6.6,31,818
2005,Jason Giambi,4.2,34,818
1995,Ryan Klesko,2.1,24,1041
1953,Ted Kluszewski,4.3,28,1007020
1999,Jason Giambi,5.2,28,818
2015,Paul Goldschmidt,7.2,27,9218
2009,Derrek Lee,5.2,33,525
1955,Ted Kluszewski,5,30,1007020
2011,Jason Giambi,1.1,40,818
1952,Ted Kluszewski,3.2,27,1007020
2006,Jason Giambi,3,35,818
2000,Tim Salmon,4.5,31,32
1998,Tim Salmon,3.3,29,32
2013,Paul Goldschmidt,6,25,9218
2003,Jason Giambi,5,32,818
2014,Paul Goldschmidt,4.3,26,9218
2017,Paul Goldschmidt,5.3,29,9218
1993,Tim Salmon,4.7,24,32
2007,Derrek Lee,3.3,31,525
1997,Tim Salmon,4.6,28,32
2002,Ryan Klesko,4.6,31,1041
1994,Tim Salmon,2.1,25,32
2018,Paul Goldschmidt,5.2,30,9218
2000,Ryan Klesko,3.2,29,1041
2001,Ryan Klesko,4,30,1041
2020,Paul Goldschmidt,2.1,32,9218
1950,Ted Kluszewski,2.1,25,1007020
1996,Tim Salmon,1.9,27,32
1999,Ryan Klesko,1.2,28,1041
2016,Paul Goldschmidt,4.9,28,9218
1956,Ted Kluszewski,2.5,31,1007020
2002,Tim Salmon,3.3,33,32
2003,Derrek Lee,3.8,27,525
1994,Ryan Klesko,1.4,23,1041
1996,Ryan Klesko,3.8,25,1041
1998,Jason Giambi,2.6,27,818
2008,Jason Giambi,2.4,37,818
2002,Derrek Lee,3.5,26,525
2000,Derrek Lee,1.8,24,525
1999,Tim Salmon,2,30,32
1997,Jason Giambi,1.7,26,818
2004,Ryan Klesko,1.7,33,1041
2004,Derrek Lee,2.8,28,525
2003,Tim Salmon,2.3,34,32
2012,Paul Goldschmidt,2.8,24,9218
1996,Jason Giambi,1.2,25,818
2006,Derrek Lee,0.7,30,525
1998,Ryan Klesko,2.8,27,1041
2008,Derrek Lee,2.4,32,525
1997,Ryan Klesko,1.4,26,1041
2006,Tim Salmon,0.6,37,32
2011,Paul Goldschmidt,0.6,23,9218
2001,Derrek Lee,1.9,25,525
2007,Jason Giambi,0.7,36,818
2003,Ryan Klesko,1.4,32,1041
1960,Ted Kluszewski,0.7,35,1007020
1948,Ted Kluszewski,0.7,23,1007020
2019,Paul Goldschmidt,2.9,31,9218
1995,Jason Giambi,0.7,24,818
1949,Ted Kluszewski,0.7,24,1007020
2010,Derrek Lee,1.4,34,525
2005,Ryan Klesko,1.5,34,1041
2010,Jason Giambi,-0.1,39,818
1997,Derrek Lee,0.3,21,525
2011,Derrek Lee,0.8,35,525
2001,Tim Salmon,1.1,32,32
2007,Ryan Klesko,0.8,36,1041
1958,Ted Kluszewski,0.3,33,1007020
1957,Ted Kluszewski,0,32,1007020
2009,Jason Giambi,0,38,818
1961,Ted Kluszewski,0.3,36,1007020
2004,Jason Giambi,0,33,818
1998,Derrek Lee,0.5,22,525
1951,Ted Kluszewski,-0.2,26,1007020
1959,Ted Kluszewski,0.4,34,1007020
2012,Jason Giambi,-0.3,41,818
2013,Jason Giambi,-0.7,42,818
2004,Tim Salmon,-0.4,35,32
1999,Derrek Lee,-0.8,23,525
1992,Tim Salmon,-0.4,23,32
2014,Jason Giambi,-0.5,43,818
1947,Ted Kluszewski,-0.1,22,1007020
1992,Ryan Klesko,-0.3,21,1041
