Season,Name,WAR,playerid
1991,Cal Ripken,10.6,1010978
1920,George Sisler,9.9,1012021
1984,Cal Ripken,9.8,1010978
1906,George Stone,8.9,1012564
1983,Cal Ripken,8.5,1010978
1922,George Sisler,8.3,1012021
1966,Frank Robinson,8.2,1011066
1964,Brooks Robinson,8.1,1011055
1961,Jim Gentile,8.0,1004612
1973,Bobby Grich,7.8,1005033
1967,Brooks Robinson,7.6,1011055
1922,Ken Williams,7.4,1014012
1923,Ken Williams,7.4,1014012
1969,Frank Robinson,7.3,1011066
1968,Brooks Robinson,7.1,1011055
1969,Paul Blair,7.1,1001031
2013,Chris Davis,7.1,9272
1993,Chris Hoiles,7.0,1005935
1986,Cal Ripken,6.9,1010978
1928,Heinie Manush,6.9,1008089
1996,Brady Anderson,6.9,364
1998,Rafael Palmeiro,6.9,1266
1975,Bobby Grich,6.9,1005033
1974,Bobby Grich,6.8,1005033
2005,Brian Roberts,6.8,166
1984,Eddie Murray,6.8,1009386
1983,Eddie Murray,6.8,1009386
1967,Paul Blair,6.7,1001031
1937,Harlond Clift,6.6,1002352
2015,Manny Machado,6.6,11493
1978,Doug DeCinces,6.6,1003123
1918,George Sisler,6.4,1012021
1969,Boog Powell,6.4,1010482
2016,Manny Machado,6.3,11493
1919,George Sisler,6.3,1012021
1962,Brooks Robinson,6.3,1011055
2004,Melvin Mora,6.2,157
1990,Cal Ripken,6.2,1010978
1980,Al Bumbry,6.1,1001649
2008,Nick Markakis,6.1,5930
1938,Harlond Clift,6.1,1002352
2004,Miguel Tejada,6.0,941
1964,Boog Powell,6.0,1010482
1982,Gary Roenicke,5.9,1011120
1917,George Sisler,5.9,1012021
1920,Baby Doll Jacobson,5.9,1006316
1971,Brooks Robinson,5.8,1011055
1989,Cal Ripken,5.8,1010978
1971,Merv Rettenmund,5.8,1010846
1982,Eddie Murray,5.8,1009386
1976,Bobby Grich,5.7,1005033
1921,George Sisler,5.7,1012021
1970,Boog Powell,5.7,1010482
1907,George Stone,5.7,1012564
1979,Ken Singleton,5.7,1012011
2011,Matt Wieters,5.7,4298
1967,Frank Robinson,5.7,1011066
1995,Rafael Palmeiro,5.6,1266
1976,Mark Belanger,5.6,1000786
1977,Ken Singleton,5.6,1012011
1944,Vern Stephens,5.6,1012501
1945,Vern Stephens,5.5,1012501
1906,Bobby Wallace,5.5,1013542
1985,Eddie Murray,5.5,1009386
1921,Ken Williams,5.5,1014012
1908,Bobby Wallace,5.5,1013542
2015,Chris Davis,5.4,9272
1972,Bobby Grich,5.4,1005033
1902,Bobby Wallace,5.4,1013542
1942,Wally Judnich,5.4,1006645
1985,Cal Ripken,5.4,1010978
1931,Goose Goslin,5.4,1004893
1970,Paul Blair,5.4,1001031
1936,Harlond Clift,5.3,1002352
1992,Brady Anderson,5.3,364
1965,Brooks Robinson,5.2,1011055
1914,Tilly Walker,5.2,1013534
1999,Brady Anderson,5.2,364
1996,Roberto Alomar,5.2,860
1971,Don Buford,5.1,1001636
1904,Bobby Wallace,5.1,1013542
1975,Ken Singleton,5.1,1012011
2013,Manny Machado,5.0,11493
2003,Melvin Mora,5.0,157
1974,Brooks Robinson,5.0,1011055
1988,Cal Ripken,5.0,1010978
1913,Burt Shotton,4.9,1011933
2006,Miguel Tejada,4.9,941
2013,Adam Jones,4.9,6368
1905,George Stone,4.9,1012564
1960,Brooks Robinson,4.9,1011055
2007,Brian Roberts,4.9,166
1907,Bobby Wallace,4.9,1013542
1941,Roy Cullenbine,4.9,1002861
