Season,Name,WAR,playerid
1975,Joe Morgan,11.0,1009179
1976,Joe Morgan,9.5,1009179
1973,Joe Morgan,9.5,1009179
1972,Johnny Bench,9.2,1000826
1977,George Foster,8.9,1004250
1972,Joe Morgan,8.7,1009179
1905,Cy Seymour,8.7,1011777
1974,Joe Morgan,8.6,1009179
1962,Frank Robinson,8.2,1011066
1970,Tony Perez,8.2,1010188
1974,Johnny Bench,8.0,1000826
1970,Johnny Bench,7.9,1000826
1976,Pete Rose,7.4,1011217
1954,Ted Kluszewski,7.4,1007020
1973,Pete Rose,7.3,1011217
2015,Joey Votto,7.3,4314
1964,Frank Robinson,7.1,1011066
1987,Eric Davis,7.1,1003048
1961,Frank Robinson,7.1,1011066
2010,Joey Votto,6.9,4314
1917,Heinie Groh,6.9,1005078
1996,Barry Larkin,6.8,335
1888,John Reilly,6.8,1010803
1975,Johnny Bench,6.8,1000826
1961,Vada Pinson,6.8,1010360
1957,Frank Robinson,6.6,1011066
1995,Reggie Sanders,6.6,1129
1932,Babe Herman,6.6,1005691
1963,Vada Pinson,6.5,1010360
2017,Joey Votto,6.5,4314
2013,Shin-Soo Choo,6.4,3174
2011,Joey Votto,6.4,4314
1969,Tony Perez,6.3,1010188
1976,George Foster,6.3,1004250
1988,Barry Larkin,6.3,335
1960,Frank Robinson,6.3,1011066
1972,Pete Rose,6.2,1011217
1940,Lonny Frey,6.2,1004343
1969,Pete Rose,6.1,1011217
1939,Lonny Frey,6.1,1004343
1891,Arlie Latham,6.1,1007371
1970,Bobby Tolan,6.1,1013100
1991,Barry Larkin,6.0,335
1944,Frank McCormick,6.0,1008413
1920,Edd Roush,6.0,1011247
1998,Barry Larkin,5.9,335
1977,Joe Morgan,5.8,1009179
1909,Mike Mitchell,5.8,1009007
1974,Dave Concepcion,5.8,1002494
1956,Frank Robinson,5.8,1011066
1938,Ival Goodman,5.7,1004857
2013,Joey Votto,5.7,4314
1973,Tony Perez,5.7,1010188
1970,Bernie Carbo,5.6,1001935
1974,Pete Rose,5.6,1011217
1919,Heinie Groh,5.6,1005078
1884,John Reilly,5.6,1010803
1915,Heinie Groh,5.5,1005078
1940,Frank McCormick,5.5,1008413
1968,Pete Rose,5.5,1011217
1959,Frank Robinson,5.5,1011066
1991,Chris Sabo,5.4,1011357
1978,George Foster,5.4,1004250
1892,Bid McPhee,5.4,1008675
1916,Heinie Groh,5.4,1005078
2000,Ken Griffey Jr.,5.4,327
1914,Buck Herzog,5.4,1005745
2011,Brandon Phillips,5.4,791
1939,Ival Goodman,5.4,1004857
1990,Barry Larkin,5.4,335
1985,Dave Parker,5.4,1010000
1969,Johnny Bench,5.3,1000826
2012,Joey Votto,5.3,4314
1884,Charley Jones,5.3,1006535
1939,Billy Myers,5.3,1009418
1919,Edd Roush,5.3,1011247
1999,Mike Cameron,5.3,1070
1959,Vada Pinson,5.3,1010360
1908,Hans Lobert,5.3,1007684
1992,Barry Larkin,5.3,335
1890,Bid McPhee,5.3,1008675
1965,Vada Pinson,5.3,1010360
2004,Adam Dunn,5.3,319
1942,Lonny Frey,5.3,1004343
1979,George Foster,5.3,1004250
1975,Pete Rose,5.3,1011217
1995,Barry Larkin,5.3,335
1939,Frank McCormick,5.3,1008413
1991,Paul O'Neill,5.3,1009818
1979,Johnny Bench,5.2,1000826
1968,Tony Perez,5.2,1010188
1965,Pete Rose,5.2,1011217
1938,Ernie Lombardi,5.2,1007718
2016,Joey Votto,5.2,4314
1965,Frank Robinson,5.2,1011066
1975,George Foster,5.2,1004250
1918,Heinie Groh,5.2,1005078
1903,Mike Donlin,5.2,1003380
1917,Edd Roush,5.1,1011247
2010,Jay Bruce,5.1,9892
1971,Lee May,5.1,1008303
1969,Bobby Tolan,5.1,1013100
1999,Barry Larkin,5.1,335
1970,Pete Rose,5.0,1011217
1988,Kal Daniels,5.0,1002973
1955,Wally Post,5.0,1010468
1886,Bid McPhee,5.0,1008675
2002,Austin Kearns,5.0,332
1955,Ted Kluszewski,5.0,1007020
2017,Zack Cozart,5.0,2616
1973,Johnny Bench,4.9,1000826
1956,Ed Bailey,4.9,1000421
1977,Johnny Bench,4.9,1000826
1971,Tony Perez,4.9,1010188
1899,Jake Beckley,4.9,1000754
1923,Bubbles Hargrave,4.9,1005359
1887,Bid McPhee,4.9,1008675
1892,Bug Holliday,4.8,1005957
1885,Charley Jones,4.8,1006535
1976,Johnny Bench,4.8,1000826
1891,Bid McPhee,4.8,1008675
1923,Edd Roush,4.8,1011247
1992,Bip Roberts,4.8,1011023
1988,Chris Sabo,4.8,1011357
1910,Dode Paskert,4.8,1010042
1915,Buck Herzog,4.8,1005745
1943,Lonny Frey,4.8,1004343
1898,Elmer Smith,4.7,1012134
1986,Eric Davis,4.7,1003048
1902,Sam Crawford,4.7,1002748
1930,Harry Heilmann,4.7,1005590
1918,Edd Roush,4.7,1011247
1886,Frank Fennelly,4.7,1003980
1940,Billy Werber,4.7,1013783
1927,Chuck Dressen,4.7,1003492
2005,Felipe Lopez,4.7,1311
1911,Johnny Bates,4.6,1000662
1931,Tony Cuccinello,4.6,1002848
1939,Billy Werber,4.6,1013783
1979,Dave Concepcion,4.6,1002494
1976,Dave Concepcion,4.6,1002494
2009,Joey Votto,4.6,4314
1960,Vada Pinson,4.6,1010360
2010,Scott Rolen,4.6,970
1906,Miller Huggins,4.5,1006148
1903,Cy Seymour,4.5,1011777
2014,Todd Frazier,4.5,785
1905,Miller Huggins,4.5,1006148
1972,Tony Perez,4.5,1010188
1922,Jake Daubert,4.5,1003005
1904,Cy Seymour,4.5,1011777
1971,Pete Rose,4.5,1011217
1887,John Reilly,4.5,1010803
1968,Johnny Bench,4.5,1000826
1892,Germany Smith,4.5,1012143
2018,Scooter Gennett,4.5,10339
2019,Eugenio Suarez,4.5,12552
2007,Brandon Phillips,4.4,791
1909,Dick Hoblitzel,4.4,1005871
1972,Bobby Tolan,4.4,1013100
1987,Kal Daniels,4.4,1002973
1890,Ollie Beard,4.4,1000719
1943,Eric Tipton,4.4,1013080
1965,Deron Johnson,4.3,1006444
1953,Ted Kluszewski,4.3,1007020
2015,Todd Frazier,4.3,785
1893,Bid McPhee,4.3,1008675
1999,Pokey Reese,4.3,1004
1988,Eric Davis,4.3,1003048
1974,Cesar Geronimo,4.3,1004639
1889,Ollie Beard,4.3,1000719
1977,Ken Griffey,4.3,1005044
1965,Leo Cardenas,4.2,1001938
1901,Sam Crawford,4.2,1002748
2014,Devin Mesoraco,4.2,5666
1883,John Reilly,4.2,1010803
1994,Kevin Mitchell,4.2,1009004
2012,Ryan Hanigan,4.2,4952
1903,Harry Steinfeldt,4.2,1012466
1980,George Foster,4.1,1004250
1925,Curt Walker,4.1,1013510
2002,Adam Dunn,4.1,319
1962,Leo Cardenas,4.1,1001938
1971,Johnny Bench,4.1,1000826
1889,Bid McPhee,4.1,1008675
1990,Chris Sabo,4.1,1011357
